dataset_id,file_code,NCBI_SRA_accession,NCBI_SRA_biosample,sample_code,DNA_RNA,fraction_name,sample_fixation,reads_total,reads_corrected_total,reads_corrected_photo,reads_final,project,cruise,station_id,date,depth_level,depth,elevation,substrate,latitude,longitude,site_name,country,oceanic_region,biome,vegetation,climate,bottom_depth,temperature,salinity,ice_coverage,Chla,NO3,NH4,PO4,Si,dataset_code,dataset_name,gene,gene_region,organelle,region,ecosystem,ecosystem_climate,substrate_type,label
2,OSD1_2015-06_1,,,OSD1_2015_1,DNA,total,,52140,52030,9552,,OSD,,1,2015-06-21,surface,0,,water,50.151,-4.13,L4,,English Channel,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-1-surface-water
2,OSD10_2015-06_1,,,OSD10_2015_1,DNA,total,,57326,54553,33734,,OSD,,10,2015-06-21,surface,0,,water,41.8398,-83.1899,Lake Erie W4,,,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-10-surface-water
2,OSD100_2015-06_1,,,OSD100_2015_1,DNA,total,,90160,89884,2710,,OSD,,100,2015-06-21,surface,0,,water,35.35,25.29,Crete - GOS,,Aegean Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-100-surface-water
2,OSD100_2015-06_2,,,OSD100_2015_2,DNA,total,,36245,35502,4339,,OSD,,100,2015-06-21,surface,0,,water,35.35,25.29,Crete - GOS,,Aegean Sea,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-100-surface-water
2,OSD101_2015-06_1,,,OSD101_2015_1,DNA,total,,44465,42696,13288,,OSD,,101,2015-06-21,surface,0,,water,32.7418,-16.7113,Quinta do Lorde,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-101-surface-water
2,OSD102_2015-06_1,,,OSD102_2015_1,DNA,total,,22897,22560,15457,,OSD,,102,2015-06-21,surface,0,,water,32.646,-16.9102,Marina do Funchal,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-102-surface-water
2,OSD103_2015-06_1,,,OSD103_2015_1,DNA,total,,17005,16700,5830,,OSD,,103,2015-06-21,surface,0,,water,32.7747,-16.8287,Porto da Cruz,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-103-surface-water
2,OSD106_2015-06_1,,,OSD106_2015_1,DNA,total,,86381,85600,7507,,OSD,,106,2015-06-21,surface,0,,water,65.9449,-22.4192,REYKIS,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-106-surface-water
2,OSD107_2015-06_1,,,OSD107_2015_1,DNA,total,,53137,52278,28499,,OSD,,107,2015-06-21,surface,0,,water,39.1404,-9.38011,Lisboa,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-107-surface-water
2,OSD108_2015-06_1,,,OSD108_2015_1,DNA,total,,76990,76113,37004,,OSD,,108,2015-06-21,surface,0,,water,38.7573,-8.96633,Alcochete,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-108-surface-water
2,OSD109_2015-06_1,,,OSD109_2015_1,DNA,total,,28659,28199,7083,,OSD,,109,2015-06-21,surface,0,,water,38.6769,-9.01239,RosÃ¡rio,,North Atlantic Ocean,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-109-surface-water
2,OSD11_2015-06_1,,,OSD11_2015_1,DNA,total,,26603,26231,1169,,OSD,,11,2015-06-21,surface,0,,water,-67.57,-68.13,Rothera,,Antarctica,,,,,,,,,,,,,OSD_2015_V4,Ocean Sampling Day - 2015 - V4,18S rRNA,V4,nucleus,Ocean survey,coastal,,water,2-OSD_2015_V4-11-surface-water
