"file_code","dataset_id","NCBI_SRA_accession","NCBI_SRA_biosample","sample_code","DNA_RNA","fraction_name","sample_fixation","reads_total","reads_corrected_total","reads_corrected_photo","reads_final","project","cruise","station_id","date","depth_level","depth","elevation","substrate","latitude","longitude","site_name","country","oceanic_region","biome","vegetation","climate","bottom_depth","temperature","salinity","ice_coverage","Chla","NO3","NH4","PO4","Si","dataset_code","dataset_name","gene","gene_region","organelle","region","ecosystem","ecosystem_climate","substrate_type","label","ss_temperature","coalesce_salinity"
"33N-st6-5",18,"SRR12190082","","33N-st6-5","DNA","nano","",19771,19771,19493,NA,"Antar_INACH","","6","2015-01-08","surface",5,NA,"water",-62.2031,-58.9208,"Fieldes Bay","Antarctica","Southern Ocean",NA,NA,"polar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic_Fildes_Bay_2015_18S_V4_sorted","Antarctic - Fildes Bay sorted - 2015","18S rRNA","V4","nucleus","Southern Ocean","coastal","","sorted phytoplankton","18-Antarctic_Fildes_Bay_2015_18S_V4_sorted-6-surface-water",0.316916666666667,30.3225555555556
"33P-st6-5",18,"SRR12190057","","33P-st6-5","DNA","pico","",45611,45590,45590,NA,"Antar_INACH","","6","2015-01-08","surface",5,NA,"water",-62.2031,-58.9208,"Fieldes Bay","Antarctica","Southern Ocean",NA,NA,"polar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic_Fildes_Bay_2015_18S_V4_sorted","Antarctic - Fildes Bay sorted - 2015","18S rRNA","V4","nucleus","Southern Ocean","coastal","","sorted phytoplankton","18-Antarctic_Fildes_Bay_2015_18S_V4_sorted-6-surface-water",0.316916666666667,30.3225555555556
"34N-st14-5",18,"SRR12190079","","34N-st14-5","DNA","nano","",16037,16037,15778,NA,"Antar_INACH","","14","2015-01-09","surface",5,NA,"water",-62.2371,-58.8271,"Fieldes Bay","Antarctica","Southern Ocean",NA,NA,"polar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic_Fildes_Bay_2015_18S_V4_sorted","Antarctic - Fildes Bay sorted - 2015","18S rRNA","V4","nucleus","Southern Ocean","coastal","","sorted phytoplankton","18-Antarctic_Fildes_Bay_2015_18S_V4_sorted-14-surface-water",0.316916666666667,30.3225555555556
"34N-st6-5",18,"SRR12190080","","34N-st6-5","DNA","nano","",16705,16682,16148,NA,"Antar_INACH","","6","2015-01-09","surface",5,NA,"water",-62.2031,-58.9208,"Fieldes Bay","Antarctica","Southern Ocean",NA,NA,"polar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic_Fildes_Bay_2015_18S_V4_sorted","Antarctic - Fildes Bay sorted - 2015","18S rRNA","V4","nucleus","Southern Ocean","coastal","","sorted phytoplankton","18-Antarctic_Fildes_Bay_2015_18S_V4_sorted-6-surface-water",0.316916666666667,30.3225555555556
"34P-st14-5",18,"SRR12190055","","34P-st14-5","DNA","pico","",23817,23778,23778,NA,"Antar_INACH","","14","2015-01-09","surface",5,NA,"water",-62.2371,-58.8271,"Fieldes Bay","Antarctica","Southern Ocean",NA,NA,"polar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic_Fildes_Bay_2015_18S_V4_sorted","Antarctic - Fildes Bay sorted - 2015","18S rRNA","V4","nucleus","Southern Ocean","coastal","","sorted phytoplankton","18-Antarctic_Fildes_Bay_2015_18S_V4_sorted-14-surface-water",0.316916666666667,30.3225555555556
"34P-st6-5",18,"SRR12190056","","34P-st6-5","DNA","pico","",26025,26025,25957,NA,"Antar_INACH","","6","2015-01-09","surface",5,NA,"water",-62.2031,-58.9208,"Fieldes Bay","Antarctica","Southern Ocean",NA,NA,"polar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Antarctic_Fildes_Bay_2015_18S_V4_sorted","Antarctic - Fildes Bay sorted - 2015","18S rRNA","V4","nucleus","Southern Ocean","coastal","","sorted phytoplankton","18-Antarctic_Fildes_Bay_2015_18S_V4_sorted-6-surface-water",0.316916666666667,30.3225555555556
"35N-st14-5",18,"SRR12190077","","35N-st14-5","DNA","nano","",58892,58808,49678,NA,"Antar_INACH","","14","2015-01-12","surface",5,NA,"water",-62.2371,-58.8271,"Fieldes Bay","Antarctica","Southern Ocean",NA,NA,"polar",NA,0.8857,33.925033,NA,NA,NA,NA,NA,NA,"Antarctic_Fildes_Bay_2015_18S_V4_sorted","Antarctic - Fildes Bay sorted - 2015","18S rRNA","V4","nucleus","Southern Ocean","coastal","","sorted phytoplankton","18-Antarctic_Fildes_Bay_2015_18S_V4_sorted-14-surface-water",0.316916666666667,33.925033
"35N-st6-5",18,"SRR12190078","","35N-st6-5","DNA","nano","",28199,27939,23575,NA,"Antar_INACH","","6","2015-01-12","surface",5,NA,"water",-62.2031,-58.9208,"Fieldes Bay","Antarctica","Southern Ocean",NA,NA,"polar",NA,1.003567,33.995833,NA,NA,NA,NA,NA,NA,"Antarctic_Fildes_Bay_2015_18S_V4_sorted","Antarctic - Fildes Bay sorted - 2015","18S rRNA","V4","nucleus","Southern Ocean","coastal","","sorted phytoplankton","18-Antarctic_Fildes_Bay_2015_18S_V4_sorted-6-surface-water",0.316916666666667,33.995833
"35NT-st14-5",18,"SRR12190098","","35NT-st14-5","DNA","nano","",15778,15776,15274,NA,"Antar_INACH","","14","2015-01-12","surface",5,NA,"water",-62.2371,-58.8271,"Fieldes Bay","Antarctica","Southern Ocean",NA,NA,"polar",NA,0.8857,33.925033,NA,NA,NA,NA,NA,NA,"Antarctic_Fildes_Bay_2015_18S_V4_sorted","Antarctic - Fildes Bay sorted - 2015","18S rRNA","V4","nucleus","Southern Ocean","coastal","","sorted phytoplankton","18-Antarctic_Fildes_Bay_2015_18S_V4_sorted-14-surface-water",0.316916666666667,33.925033
"35NT-st6-5",18,"SRR12190099","","35NT-st6-5","DNA","nano","",17888,17770,16351,NA,"Antar_INACH","","6","2015-01-12","surface",5,NA,"water",-62.2031,-58.9208,"Fieldes Bay","Antarctica","Southern Ocean",NA,NA,"polar",NA,1.003567,33.995833,NA,NA,NA,NA,NA,NA,"Antarctic_Fildes_Bay_2015_18S_V4_sorted","Antarctic - Fildes Bay sorted - 2015","18S rRNA","V4","nucleus","Southern Ocean","coastal","","sorted phytoplankton","18-Antarctic_Fildes_Bay_2015_18S_V4_sorted-6-surface-water",0.316916666666667,33.995833
